golId,game,event1,event2,event3,event4,event5,event6,event7,event8,event9,event10,event11,event12,event13,event14,event15,event16,event17,event18,event19,event20,event21,event22,event23,event24,event25,event26,event27,event28,event29,event30,event31,event32,event33,event34,event35,event36,event37,event38,event39,event40,event41,event42,event43,event44,event45,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,result
36864,ESPORTSTMNT02_2556988,RED: first_blood,BLUE: dragon,BLUE: herald,BLUE: dragon,BLUE: first_tower_top,RED: first_tower_bot,BLUE: herald,RED: first_tower_mid,BLUE: second_tower_top,BLUE: dragon,BLUE: first_tower_bot,RED: first_tower_top,BLUE: dragon,BLUE: first_tower_mid,BLUE: baron,BLUE: second_tower_mid,BLUE: second_tower_bot,BLUE: elder_dragon,BLUE: baron,BLUE: third_tower_bot,BLUE: third_tower_mid,BLUE: third_tower_top,BLUE: inhibitor_bot,BLUE: inhibitor_mid,BLUE: inhibitor_top,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,1,1.0,2.0,1,1.0,2.25,1,1.0,2.67,0,0,0,0,0,0,5,0.4,4.5,0,0,0,5,0.2,4.0,0,0,0,0,0,0,1
36865,ESPORTSTMNT05_2520933,RED: first_blood,RED: herald,BLUE: dragon,RED: first_tower_top,RED: second_tower_top,RED: first_tower_bot,RED: dragon,RED: herald,RED: first_tower_mid,RED: second_tower_mid,RED: second_tower_bot,RED: dragon,RED: baron,RED: third_tower_mid,RED: inhibitor_mid,RED: nexus_tower,RED: nexus_tower,RED: third_tower_top,RED: inhibitor_top,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,3.0,2,1.0,1.11,3,1.0,1.42,1,1.0,0.67,4,0.25,2.69,4,0.75,3.94,4,0.5,4.0,4,0.25,3.55,10,0.4,4.07,2,0.5,5.4,0
36866,ESPORTSTMNT02_2557390,RED: first_blood,BLUE: herald,RED: dragon,RED: first_tower_bot,BLUE: herald,BLUE: first_tower_mid,RED: dragon,BLUE: first_tower_top,BLUE: second_tower_top,BLUE: dragon,RED: first_tower_mid,RED: baron,RED: dragon,RED: first_tower_top,RED: second_tower_mid,RED: second_tower_top,BLUE: first_tower_bot,RED: third_tower_top,RED: second_tower_bot,RED: third_tower_mid,RED: inhibitor_mid,RED: inhibitor_top,BLUE: dragon,RED: baron,RED: third_tower_bot,RED: inhibitor_bot,RED: inhibitor_mid,RED: inhibitor_top,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,0,0,0,1,0.0,3.25,0,0,0,2,0.5,2.8,0,0,0,1,1.0,2.5,0,0,0,1,0.0,20,0,0,0,4,1.0,2.8,0
36867,ESPORTSTMNT02_2557426,RED: dragon,BLUE: first_blood,RED: herald,RED: dragon,RED: herald,BLUE: first_tower_bot,RED: first_tower_mid,BLUE: dragon,RED: dragon,RED: second_tower_mid,RED: dragon,RED: baron,RED: first_tower_top,RED: second_tower_top,RED: first_tower_bot,RED: second_tower_bot,RED: third_tower_bot,RED: third_tower_mid,RED: inhibitor_bot,RED: inhibitor_mid,RED: nexus_tower,RED: third_tower_top,RED: nexus_tower,RED: inhibitor_top,RED: nexus,,,,,,,,,,,,,,,,,,,,,7,0.14,4.14,1,0.0,5.0,2,0.5,4.83,2,0.5,1.5,8,0.38,6.32,5,0.4,2.73,0,0,0,5,0.2,4.0,5,0.6,9.12,0,0,0,0
36868,ESPORTSTMNT02_2557463,RED: first_blood,BLUE: dragon,BLUE: herald,BLUE: dragon,BLUE: herald,BLUE: first_tower_mid,RED: dragon,RED: first_tower_bot,BLUE: first_tower_bot,RED: first_tower_top,RED: baron,BLUE: dragon,RED: first_tower_mid,RED: second_tower_top,BLUE: first_tower_top,RED: second_tower_bot,RED: dragon,RED: second_tower_mid,RED: third_tower_mid,RED: inhibitor_mid,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,1,0.0,2.0,1,1.0,2.25,0,0,0,0,0,0,0,0,0,5,0.6,4.08,3,0.67,6.6,5,0.0,2.35,2,0.0,24.0,0,0,0,0
36887,ESPORTSTMNT02_2556955,BLUE: dragon,BLUE: herald,RED: first_blood,RED: dragon,RED: first_tower_bot,BLUE: herald,BLUE: first_tower_top,RED: first_tower_mid,RED: dragon,BLUE: first_tower_bot,RED: first_tower_top,BLUE: first_tower_mid,RED: baron,RED: dragon,RED: second_tower_bot,RED: third_tower_bot,RED: inhibitor_bot,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.2,2.6,2,0.5,4.6,0,0,0,1,1.0,9,0,0,0,2,1.0,3.33,1,0.0,12,2,0.5,7.0,0,0,0,0,0,0,0
36888,ESPORTSTMNT02_2557008,BLUE: dragon,RED: herald,BLUE: first_blood,BLUE: first_tower_top,RED: dragon,BLUE: first_tower_bot,BLUE: second_tower_bot,BLUE: herald,RED: first_tower_bot,BLUE: first_tower_mid,BLUE: dragon,BLUE: second_tower_mid,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: dragon,BLUE: inhibitor_mid,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,0.5,2.5,0,0,0,2,0.5,3.0,5,0.2,6.08,1,0.0,1.5,1,0.0,3.0,1,0.0,2.5,2,0.0,5.67,0,0,0,1
36889,ESPORTSTMNT02_2557053,RED: first_blood,BLUE: dragon,BLUE: herald,BLUE: first_tower_bot,BLUE: dragon,RED: dragon,RED: herald,BLUE: first_tower_mid,BLUE: dragon,BLUE: first_tower_top,RED: baron,RED: first_tower_mid,RED: second_tower_mid,BLUE: second_tower_top,RED: first_tower_bot,BLUE: dragon,BLUE: second_tower_bot,BLUE: second_tower_mid,RED: first_tower_top,BLUE: baron,BLUE: third_tower_mid,BLUE: inhibitor_mid,RED: elder_dragon,RED: third_tower_mid,RED: inhibitor_mid,RED: second_tower_bot,RED: third_tower_bot,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,1,0.0,0.88,0,0,0,1,1.0,5.0,3,0.67,6.67,3,0.67,4.78,0,0,0,0,0,0,1,1.0,1.6,1,0.0,0.4,0,0,0,1
36890,ESPORTSTMNT02_2557084,BLUE: dragon,RED: first_blood,RED: herald,BLUE: dragon,BLUE: herald,BLUE: first_tower_top,RED: first_tower_top,BLUE: first_tower_bot,BLUE: dragon,RED: first_tower_mid,RED: dragon,RED: second_tower_mid,BLUE: first_tower_mid,RED: baron,BLUE: second_tower_mid,RED: dragon,RED: first_tower_bot,RED: second_tower_bot,RED: baron,RED: third_tower_mid,RED: inhibitor_mid,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.0,0,0,0,0,0,0,2,0.5,0.56,0,0,0,0
36891,ESPORTSTMNT02_2557926,BLUE: dragon,RED: first_blood,RED: herald,BLUE: dragon,RED: first_tower_mid,RED: first_tower_top,BLUE: first_tower_bot,RED: dragon,RED: herald,RED: dragon,RED: first_tower_bot,RED: second_tower_mid,RED: second_tower_bot,RED: second_tower_top,BLUE: first_tower_mid,RED: baron,RED: dragon,RED: third_tower_bot,RED: inhibitor_bot,RED: third_tower_mid,RED: nexus_tower,RED: inhibitor_mid,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.0,3.25,2,0.5,1.0,0,0,0,0,0,0,1,0.0,9.0,1,1.0,0.5,1,0.0,1.2,0,0,0,0,0,0,0
36893,ESPORTSTMNT02_2558003,RED: first_blood,RED: herald,RED: dragon,RED: first_tower_top,BLUE: herald,RED: first_tower_bot,RED: second_tower_top,BLUE: first_tower_mid,RED: baron,BLUE: dragon,RED: first_tower_mid,RED: second_tower_bot,RED: second_tower_mid,BLUE: dragon,RED: baron,RED: third_tower_mid,RED: inhibitor_mid,RED: third_tower_bot,RED: inhibitor_bot,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,0.2,3.85,0,0,0,2,0.0,12.5,0,0,0,1,1.0,0.0,2,0.5,3.75,0,0,0,0,0,0,0,0,0,0
36894,ESPORTSTMNT02_2577994,BLUE: first_blood,RED: dragon,BLUE: herald,BLUE: dragon,BLUE: first_tower_bot,BLUE: first_tower_top,BLUE: second_tower_top,RED: dragon,BLUE: herald,BLUE: first_tower_mid,RED: first_tower_mid,BLUE: dragon,RED: first_tower_bot,BLUE: second_tower_bot,BLUE: second_tower_mid,BLUE: baron,RED: dragon,RED: first_tower_top,BLUE: third_tower_bot,BLUE: third_tower_mid,BLUE: inhibitor_bot,BLUE: inhibitor_mid,RED: dragon,BLUE: baron,RED: second_tower_mid,BLUE: elder_dragon,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,0,0,0,5,0.6,3.29,2,1.0,3.0,1,0.0,3.5,3,0.33,2.92,1,1.0,4.5,2,1.0,13.67,0,0,0,1,0.0,12,0,0,0,1
36895,ESPORTSTMNT02_2576943,BLUE: first_blood,RED: dragon,BLUE: herald,BLUE: dragon,BLUE: first_tower_mid,BLUE: herald,BLUE: first_tower_bot,BLUE: first_tower_top,RED: dragon,RED: first_tower_mid,RED: first_tower_bot,BLUE: dragon,RED: baron,RED: first_tower_top,RED: second_tower_top,RED: second_tower_mid,RED: third_tower_mid,RED: inhibitor_mid,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.5,4,0.25,6.1,2,1.0,11.0,3,0.67,2.5,3,0.33,2.27,0,0,0,0,0,0,3,0.67,7.0,0,0,0,0,0,0,0
36896,ESPORTSTMNT02_2576974,BLUE: first_blood,RED: dragon,BLUE: herald,BLUE: dragon,BLUE: first_tower_mid,RED: herald,RED: dragon,BLUE: first_tower_top,BLUE: first_tower_bot,RED: first_tower_top,RED: dragon,RED: first_tower_mid,RED: baron,RED: first_tower_bot,RED: second_tower_mid,RED: second_tower_bot,RED: third_tower_mid,RED: inhibitor_mid,RED: dragon,RED: nexus_tower,RED: third_tower_bot,RED: inhibitor_bot,RED: second_tower_top,RED: third_tower_top,RED: inhibitor_top,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,2,0.0,2.22,0,0,0,0,0,0,0,0,0,1,0.0,2.25,0,0,0,1,0.0,3.0,1,1.0,6.67,4,1.0,4.58,5,0.6,2.42,0
36897,ESPORTSTMNT02_2556883,RED: herald,RED: first_blood,BLUE: dragon,RED: first_tower_top,RED: herald,BLUE: first_tower_bot,RED: first_tower_mid,BLUE: first_tower_mid,BLUE: dragon,RED: first_tower_bot,BLUE: dragon,RED: baron,BLUE: first_tower_top,BLUE: second_tower_top,RED: dragon,BLUE: third_tower_top,RED: second_tower_top,RED: second_tower_mid,RED: third_tower_mid,RED: inhibitor_mid,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,0.33,9.0,2,0.0,3.0,1,0.0,0.89,9,0.56,4.62,1,0.0,12,6,0.33,3.0,0,0,0,1,0.0,7.0,3,0.33,38.0,0
36898,ESPORTSTMNT02_2576912,BLUE: first_blood,RED: dragon,BLUE: herald,BLUE: first_tower_top,BLUE: dragon,BLUE: herald,BLUE: first_tower_mid,BLUE: first_tower_bot,BLUE: second_tower_top,BLUE: dragon,BLUE: baron,BLUE: second_tower_mid,BLUE: second_tower_bot,BLUE: dragon,BLUE: baron,BLUE: third_tower_top,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: inhibitor_top,BLUE: nexus_tower,BLUE: third_tower_bot,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0.0,14.0,1,1.0,4.5,8,0.38,5.31,1,0.0,4.0,0,0,0,1,0.0,2.0,0,0,0,4,0.25,8.0,2,1.0,4.0,1
36899,ESPORTSTMNT02_2556917,RED: dragon,RED: first_blood,BLUE: herald,BLUE: first_tower_bot,BLUE: dragon,BLUE: first_tower_top,BLUE: herald,BLUE: first_tower_mid,BLUE: second_tower_mid,RED: first_tower_top,BLUE: dragon,BLUE: baron,BLUE: second_tower_top,BLUE: third_tower_top,RED: dragon,BLUE: second_tower_bot,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,3.67,1,0.0,7.5,0,0,0,2,0.0,5.75,2,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.55,1
36900,ESPORTSTMNT02_2557978,RED: first_blood,RED: dragon,RED: herald,RED: first_tower_bot,RED: dragon,BLUE: first_tower_bot,BLUE: herald,RED: first_tower_mid,BLUE: first_tower_top,RED: dragon,RED: first_tower_top,RED: dragon,RED: baron,RED: second_tower_mid,RED: third_tower_mid,RED: inhibitor_mid,RED: second_tower_bot,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0.5,0.81,3,0.67,2.4,0,0,0,2,0.0,1.7,1,1.0,0.5,2,0.0,9.0,2,0.0,6.75,2,0.0,2.14,4,0.25,4.55,0
36901,ESPORTSTMNT02_2557908,RED: first_blood,RED: dragon,BLUE: herald,RED: dragon,BLUE: herald,RED: first_tower_mid,BLUE: first_tower_bot,BLUE: first_tower_mid,BLUE: dragon,RED: first_tower_top,RED: first_tower_bot,RED: second_tower_top,BLUE: baron,RED: dragon,BLUE: first_tower_top,BLUE: second_tower_top,BLUE: dragon,RED: second_tower_mid,BLUE: dragon,BLUE: second_tower_mid,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,3,0.67,7.33,2,0.0,4.6,2,0.5,9.25,0,0,0,0,0,0,1,1.0,1.8,2,0.5,2.29,1,0.0,18.0,1,0.0,3.0,0,0,0,1
36902,ESPORTSTMNT02_2557827,RED: first_blood,RED: dragon,BLUE: herald,RED: dragon,BLUE: herald,RED: first_tower_bot,RED: first_tower_top,BLUE: first_tower_mid,RED: dragon,BLUE: first_tower_top,RED: second_tower_top,RED: second_tower_bot,RED: third_tower_bot,RED: baron,RED: first_tower_mid,RED: dragon,RED: second_tower_mid,RED: third_tower_mid,RED: inhibitor_mid,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,2.75,3,0.67,21.0,3,1.0,3.43,0,0,0,3,0.33,0.94,0,0,0,10,0.6,2.5,1,1.0,0.0,4,0.5,2.46,5,0.6,3.45,0
36903,ESPORTSTMNT02_2557859,BLUE: first_blood,BLUE: dragon,BLUE: herald,BLUE: dragon,BLUE: herald,RED: first_tower_bot,BLUE: first_tower_mid,BLUE: first_tower_top,BLUE: second_tower_mid,BLUE: first_tower_bot,BLUE: dragon,RED: first_tower_mid,RED: first_tower_top,BLUE: dragon,BLUE: baron,BLUE: second_tower_bot,BLUE: third_tower_bot,BLUE: inhibitor_bot,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,0.33,19.0,1,1.0,1.75,3,0.0,15.67,0,0,0,0,0,0,2,1.0,4.0,3,0.67,3.17,3,0.67,10.5,5,0.6,3.32,1
36904,ESPORTSTMNT02_2557954,RED: first_blood,BLUE: dragon,RED: herald,BLUE: dragon,BLUE: herald,BLUE: first_tower_top,BLUE: dragon,BLUE: first_tower_mid,BLUE: first_tower_bot,RED: dragon,BLUE: second_tower_bot,BLUE: baron,BLUE: second_tower_mid,BLUE: third_tower_mid,BLUE: inhibitor_mid,BLUE: second_tower_top,BLUE: third_tower_top,BLUE: inhibitor_top,BLUE: nexus_tower,BLUE: nexus_tower,BLUE: nexus,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,5.67,2,0.5,10.67,1,0.0,9,2,0.0,9.33,3,0.0,13.0,2,0.0,4.0,2,0.5,0.67,2,0.0,8.33,5,0.4,5.67,1,0.0,3.17,1
36905,ESPORTSTMNT02_2577386,RED: first_blood,BLUE: dragon,RED: herald,RED: dragon,RED: first_tower_top,RED: first_tower_mid,BLUE: first_tower_bot,RED: herald,RED: first_tower_bot,BLUE: first_tower_top,RED: second_tower_bot,RED: baron,RED: dragon,RED: second_tower_mid,RED: third_tower_bot,RED: inhibitor_bot,RED: second_tower_top,RED: dragon,RED: baron,RED: third_tower_top,RED: third_tower_mid,RED: inhibitor_bot,RED: inhibitor_mid,RED: inhibitor_top,RED: nexus_tower,RED: nexus_tower,RED: nexus,,,,,,,,,,,,,,,,,,,8,0.62,4.05,1,0.0,8.0,0,0,0,0,0,0,1,0.0,2.0,1,0.0,0.5,0,0,0,0,0,0,4,0.5,2.45,0,0,0,0
